predicted,sentiment,text
negative,negative,писец @beeline_rus лежать я не мочь никто не поздравлять 
negative,negative,@sorrow_sparrow эээ мож билайн ебануться и звонок не проходить 1026 если что 
negative,positive,#мегафон обманывать мы что готовый к праздник не сеть  не звонок не интернет это капец) какойто  #билайн и то справляться на ура 
negative,negative,вы готовиться встречать новый год а #билайн списывать втихую деньги с ваш счет и счет ваш ребенок увеличивать тариф задний число 
negative,negative,смс не отправляться инет нет при то что сеть быть и деньги на счет тоже @beeline_rus поздравлять так с новый год видимо 
negative,positive,@naked_damon @im_not_okay_xox показывать но от билайн крутой быть с: 
negative,negative,девятьдевять недосылать сообщение от сашуля #нга#билайн#смс#дурдом 
negative,negative,какой хуй билайн весь поздравлять  а я нет - 
negative,negative,@beeline_rus подключенмобильный пенсионерный который 5 любимый номер без абплатын мочь подключать любимый номер услуга недоступный 
negative,negative, @hosenyjyveqo: билайн так же как и ростелеком — сделать в один место и один палец что бренд что суть — ни о что оба вбухать немер 
negative,negative,задолбать долбать билайн деньги со счет постоянно пропадать на весь услуга и звонок-безлимит плата фиксировать бесить :-* 
negative,negative, @caluqesewuta: нет нет в жизнь счастие во-первых вчера я не особо оставаться довольный скорость пчелайновский проводной интернет тот 
negative,negative,пойти я спати-почивать завтра опять утренний встряска билайн и себя зло быть в 23 позвонить они пусть знать что я такой 
negative,negative,что то у билайн их иптв приставка видно нехорошо расходиться уже второй чтоль раз званиль впаривать :) 
negative,negative,уже 18 день как #билайн не мочь решать проблема со связь 
negative,negative,@beeline_rus @uleholtob почему в южно-сахалинск уже 40 минута скорость интернет мертвый 
negative,negative,#билайн наебщик 
negative,positive,ахах год начинаться хорошо я выигрывать читалка от @_beeline_kz  
negative,negative,http://tco/nbyun7nt3v проблема с юсб модем билайн в иммиграция на стол и революция в жизнь об 
negative,negative,билайн дорогой и плохой другой оператор билайн работать весь плохо и плохо быть добиваться уход билайн жалко время на это тратить- но быть 
negative,negative,@ru_mts принимать новый абонент как можно с @beeline_rus без замена номер становиться ваш абонент 
negative,negative,сегодня без французский авангард:инет не грузитбилайн по ход кутить дико 
negative,negative,странный дело именно сегодня с билайн что-то не то 
negative,negative,билайн - обман: консультант в офис билайн на остановка дксалют сказать что 1-й переход http://tco/vxgke8a2nw 
negative,positive,@_supertazik_  а я мой любимый билайн часто дарить 100 рубль  правда потом забирать  но главный что писать :з 
negative,negative,билайн мразь конечно еще тот 
negative,negative,@beeline_rus почему помегабайтный тарифицировать интернет при подклый услуга go номер 9094584620 дата 030114 и такой уже не впервые 
positive,positive,спасибо @beeline http://tco/q3zhhbcc2q 
negative,negative,@beeline_rus 0894394490  только вот вопрос мой решать уже весьма неоперативно обещать к 1140 по мск а включать в 1900 по мск 
negative,negative, @zaxarborisych: гондон из мегафон швайный из билайн and those who take it up the ass at мтс 
negative,negative, @bahaashuraliev: @dr_aziz_a @beeline_uz чем машина раздавать мочь бы связь улучшать чтобы дозваниваться до мама в новогодний ночь и позд 
negative,negative,ну да ну да пойти блять покупать сука консультант пидр и весь они еблан ненавидеть билайн 
negative,negative,вчера давать интернет 5 день не быть :/ #билайнахуеть 
negative,negative,бля сраный билайн 
negative,negative,да после мой быстрый и любимый смайл этот билайн улитка прогуливаться по парк в тихий летний день зхдраст народ_ аахха 
positive,positive,ахахаз обожать новый реклама билайн:3 
negative,negative,посылать очередной луч ненависть в сторона @beeline_rus  ваш биллинг в состояние сам снимать деньги за услуга 
positive,positive, @kindergartenmm: переходить на билайн нах 
negative,positive,вынужденный признавать что теперь у @beeline_rus отлиный личный кабинет это прогресс 
negative,positive,билайн расширять свой влияние в приморье 
negative,positive,похоже зря я посылать луч ненависть в сторона @beeline_rus  видимо быть пьяный  и сам проглядеть :) 
negative,positive,везти мука на остров гуля второй час тарахтеть дизель все спать включая капитан билайн почемуто работать посреди океан 
negative,negative, @monkaster: ебаный билайн третий вечер подряд нет инет расчленять этот полосатый говнодел лапка в один сторона крыло в другой а 
negative,positive,зачем @beeline_rus сделать такой классный реклама #iphone5s  я теперь хотеть он еще много:( 
negative,negative,@beeline_rus при загрузка страница окно с сообщение не удаваться активировать сотовый сеть снова интернет пропадать( 
negative,positive,@beeline_rus все зарабатывать спасибо за оперативный решение проблема 
negative,negative,наверное стоить подымать волна в интернет и в пресса против @beeline_rus иначе трудно они заставлять делать то что они обязывать 
positive,positive,@c_a_iii_k_a в билайн к пример по весь россия инет по цена домашний регион соответственно бесплатно в рамка тариф ) 
negative,negative,совет от #билайн в любой непонятный ситуация идти смс скорость снижать согласно условие предоставление опция 
positive,positive, @benelypibuwu: билайн запускать сеть lte на сахалин 
negative,negative,билайн охуевать: за бесплатный смс брать 3 рубль/шт весь деньги потратить :( 
negative,negative,новость от дядя яша: сбой в билайн оставлять без связь 160 тысяча человек 
negative,positive,как же радовать реклама билайн светлак классно вписываться в она подымать настроенька  откровенно говорить 
negative,negative,никогда больше не быть клиент @beeline_rus ничто не работать деньги ни с то ни с сие брать очень испортиться 
negative,negative,ктонять пользовалиться 4g в москва похоже на профанация как у @beeline_rus так и у @megafoncorp скрость около 6 mb это что 4g 
negative,positive,@tufodotybecu готовый к любой погода билайн раздавать бесплатный дождевик гость пикник афиша 
negative,negative,у вы тоже @beeline_uz грести деньги со счет 
negative,negative, @kisakisamr: куда уходить баланс мы что платный инстаграм или твиттерааа идти в билайн злой  
negative,negative,@matveyevigor в москва 3g то у билайн нормальный нет 
negative,negative,оператор хоть и обещать связываться в теч сутки но ни деньги ни звонок я не  дождаться @beeline_rus #мошенник 
negative,negative,люцифер нет на этот билайн отрубиться онвидеть лиоставлять человек без интернетахрен понятьчто там случилосьнадеяться завтра все быть ока 
negative,negative,@beeline_rus оператор также быть предупреждать что в случай отсутствие ответ в течсуток я перенаправлять жалоба в роспотребнадзор 
negative,negative, @dykigefawem: куда уходить баланс мы что платный инстаграм или твиттерааа идти в билайн злой  
negative,negative,@_angryclown билайн тоже не радовать 
negative,negative,переходить на другой тариф #билайн - 200рублей переходить на тариф другой оператор - 100рублей в компания как бы намекать 
negative,negative, @ceferividyfo:  @wavabixonez: куда уходить баланс мы что платный инстаграм или твиттерааа идти в билайн злой  
negative,positive,сколько раз надо написать вор из @ru_mts чтобы они снисходить до то чтобы хоть как-то почесаться билайн бы уже 10 раз бы отвечать 
negative,negative,билайн гореть в ад 
negative,negative,сидеть на балкон на 11 этаж (только там ловить мерзкий билайн) - как думать - стоить ли кинуть яйцо в порше кайен внизу 
negative,positive,поняятноо здесь билайн только офигенный ловить 
negative,negative,@beeline_rus привет вчера заплатить за домашний wi-fi работать сегодня браузер ваш заставка говорить что нет средство как быть билайн 
positive,negative, @ojamilvd: http://tco/go1obmiopi мегафон и вымпелком показывать отток 
negative,negative,билайн труба короче 
negative,positive,получать из рука @pavelkrutskikh свой приз -  iphone 5c еще раз спасибо @_beeline_kz за конкурс и http://tco/ggy5a2yewe 
negative,negative,мой одиночество не спасать даже любимый билайн что слать я смс с какой-то херня 
positive,positive,масштабный расширение транспортный магистральный сеть билайн на кавказ урал и в сибирь #teamfollowback 
negative,negative,какой хрен у билайн интернет не работать 
negative,negative,@beeline_rus здравствовать тот интернет медленный без предупреждение устанавливать какой то ограничение ничто не понимать теперь сколько платить 
positive,negative,@dispiace @exception18 у я билайн и мегафон и из весь этот я много по душа мегафон билайн дорогой слишком 
negative,negative,у билайн самый дорогой инет из весь оператор сотовый связь а у я к он карточка привязывать ээй билаайн соситк хер 
negative,negative,@beeline_rus на данный момент из-за постоянный проблема с оператор билайн в наш город я уже неделя как переходить к другой оператор 
positive,positive,@beeline_rus сейчас вроде все хорошо спасибо) 
negative,negative,@yana_fox ждать потому что так как работать lte на билайн хорошо бы вообще не работать 
positive,negative, @antsdemars: мадонна вынуждать верующий калужанин отказываться от билайн 
negative,negative,ваш смс не доставлять я в лом билайн 
negative,negative,уже второй вечер твориться хрень с билайн ни куда не мочь дозваниваться сеть постоянно прыгать 
negative,positive,@beeline_rus большой спасибо 
negative,negative,комментарий максим фадеев(fadeev_maxim) продюсер намеривать обращаться в полиция с жалоба на билайн(beeline_rus) 
negative,negative,@beeline_rus нет и не собираться раз уже отправлять обращение проигнорировать снова связываться с ваш сервис не собираться 
negative,negative,@vokabre сейчас только у мтс весь россия - это весь россия у билайн и мегафон ряд регион дв не относиться ко весь россия 
negative,negative,тот время у билайн смениться слоган слоган становиться унылый скучный снобский :( 
positive,positive,друг пользователь beeline казахстан ставить новый рекорд :) [инфографика] http://tco/dr3fkadznr 
positive,positive, @_beeline_kz: друг пользователь beeline казахстан ставить новый рекорд :) [инфографика] http://tco/dr3fkadznr 
negative,positive,настраивать сей билайн теперь все нормально) 
positive,positive,билайн на треть увеличивать число базовый станция в красноярск http://tco/bchne3wow8 с помощь @cnewsru 
positive,positive,beeline обеспечивать бесперебойный работа сеть в новогодний ночь 
negative,positive,# @lu__natick beeline обеспечивать бесперебойный работа сеть в новогодний ночь 
negative,negative,@beeline_rus у я он и подключать просто из за ваш сбой у я не работать интернет несколько день 
negative,negative,не понимать это контактика пизда или билайн 
negative,negative,система самообслуживание через который я () не смочь пробиваться и обслуживаться @beeline_rus это уже за грань (( 
positive,positive,через 8 день становиться абонент билайн номер сохраняться 
negative,negative,@yamobi а в трамвай с wi-fi от билайн этот самый wi-fi либо нет либо он запарольный 
negative,negative, @ceveha: только полагать деньга на тлф теперь билайн от я не отставать со свой предложение 
negative,positive,@beeline_rus lte отличный спасибо) продолжать совершенствовать связь 
negative,negative,@antonkolbasov @beeline_rus значит билайн не только в саранск лагать 0 
positive,negative,смска от билайн я просто убивать;(( 
negative,negative,@beeline_rus добрый вечер а что происходить с #bis #blackberry в ваш сеть не работать os 7 смартфон 
negative,negative,@beeline_rus что случаться со связь на комсомольский ни на кольцо ни на радиальный сеть не ловить вообще 
positive,negative,@beeline_rus и продлиться минимум до понедельник действительно напрягать частый разложение изображение на пиксел и пропадание звук 
negative,negative,еще старый как корбина или новый как билайн согласный что как билайн они гавно 
negative,negative,билайн-интернет ты я убивать зарабатывать уже #билайн #beeline 
negative,positive,позвонить из @beeline_rus давать поговорить со вменяемый специалист 
negative,negative,@beeline_rus москва уже месяц два от местонахождение не зависеть просто вечно не доступный 
negative,negative,у билайн ужасный интернет со вчерашний вечер начинать тупить сегодня вообще ни юсб ни телефон не работать только сейчас зарабатывать без 3ж 
negative,positive,мегафон как ты я надоедать с такой ужасный интернет переходить на #билайн - хватить это терпеть 
negative,negative,обращаться к @beeline_rus уставать от ваш домашний инет в договор написать один а по факт получать 3 мбт вместо 100 скоро отказываться 
negative,negative,билайн питаться мой деньгамихотить рано выходить довольно дешевонаверноепридтись прощаться 
negative,negative,фас мочь оштрафовать вымпелком и apple из-за lte  #3dnews #новость #болеечитаемый 
negative,negative, @adoralim: фас мочь оштрафовать вымпелком и apple из-за lte  #3dnews #новость #болеечитаемый 
negative,negative,#билайн ты в кузьминки гавно 
negative,negative,сраный интернет билайн какой хуй 
negative,negative,@beeline_rus ситуация не изменяться изображение распадаться еще часто также пропадать звук на hd-канал 
negative,negative,ах аха у билайн прямой 20 входить тысяча уводить  я теперь враг номер один 
negative,negative,на 100 000 руб фас оштрафовать вымпелком за ненадлежащий рекламубилайн вводить потребитель в заблуждение телереклама тариф планета ноль 
negative,negative,билайн пидарас 
negative,negative,почему у билайн такой поршивый интернет 
negative,negative,@t2543230topol33 это реклама билайн только что они это сказать хотеть - не понятно 
negative,negative,@beeline_rus последний день мой телефон постоянно сваливаться в edge я казаться что что-то пойти не так 
negative,positive,@la_stik а почему кверть не уж-то нет билайн в дом он достаточно надежный а мгтс gpon 
negative,negative,что со связь #билайн #волгоград 
negative,positive,норма так интернет #билайн #ставрополь http://tco/yfotku25a1 
negative,negative,как же этот билайн задирать ни я дозваниваться не мочь ни я http://tco/yb2zvw73rv 
negative,negative,#билайн а у вы что проблема с интернет-связью15 час пытаться входить в инетзначок 3g то появитсято исчезать и так туда сюда 
negative,negative,билайн ты охерелый @beeline_rus нахер я твой фитнес московский 
negative,negative,@beeline_rus субъективно да пока бороться со свой роутер но похоже не только у я ухудшаться коннект логин sam1488 
negative,positive,#rufollow вымпелком ликвидировать отставание от конкурент по качество связь #новость 
negative,negative, @vanya_precious: спасибо билайн за то что снова сдыхать интернет 
negative,negative,@beeline_rus а можно узнавать по какой причина через 10 минута после получение доверительный платеж деньги со счет исчезать 
negative,negative,когда ты хотеть написать что-то гениальный в твиттер злодей билайн-интернет завидовать отключаться  #пидр #кончать 
negative,negative,@beeline_rus здравствовать вырубаться интернет и тв номер счет 089-279-0934 позвонить в техподдержка  сказать что  не знать когда починять 
negative,negative,@beeline_rus вы рассматривать мой письмо отправлять вы письмо как вы сказать ответ весь еще нет заебывать честной слово 
negative,negative,сменить билайн он плохо работать как ты саша 
negative,negative,и этот пчелайн интернет  он вроде быть но он нет 
negative,positive,@beeline_rus спасибо большой :) 
negative,negative,быть в офис мегафон тот который в европарк по повод переход из билайн к они  ( ) (7 ответ) 
negative,negative,у #beeline в служба поддержка даже музыка играть с перебой))) 
negative,negative,#followme у кто билайн вчера кинуть 500 руб сегодня на баланс -36 руб как дозваниваться до оператор что-то они http://tco/dv6rtwqg2m 
negative,positive,доход &amp;quot;билайн&amp;quot; увеличиваться много чем на 30 процент 
negative,negative,@beeline_rus проводной  быть проблема в то что невозможно быть даже страница прогружать и не у один я в этот день так быть 
positive,negative,билайн ростов временно отключать мобильный интернет 
negative,negative,как же я сегодня намучиться с билайн и с банк связной бесить просто почему нельзя организовывать все нормально почему везде лаж 
positive,positive,в 2013 год билайн в два раз увеличивать число станция с высокий скорость на алтай http://tco/okkcq8hutm 
negative,negative,какой же медленный  мобильный интернет в #билайн  за что деньги плакать ( 
negative,negative,@ko12radohka04ko потому что билайн -гоооовнооо 
negative,negative,@ru_mts @beeline_rus @megafoncorp ребята протаскивать законопроект через лдпр это жесть 
negative,negative, @agrahh: цена на межоператорский соединение в белоруссия и узбекистан повышать подтвердить представитель вымпелком анна айбашев 
negative,positive,@beeline_rus спасибо что так оперативно отреагировать фактически на мой косяк 
negative,negative,@beeline_rus ваш сотрудник обвинять я в это и не становиться решать вопрос при это нарушать условие договор по обслуживание абонент 
negative,negative,когда я читать на #habrahabr статья о то какой пиздатый и современный вымпелком а потом тестировать их бэкофис - я становиться стыдно 
positive,negative,недетский детский тариф билайн http://tco/s4afs3t0gf 
negative,negative,неужели пытаться в билайн сэкономить на скидка в 15% 
negative,negative,@calculon9 да я бы так не сказать)) у я билайн и с нашева сотовый связь о свой здоровье не позаботиться) 
negative,negative,@beeline_rus даже при 3g интернет работать очень медленно  решать как то этот вопрос 
negative,positive,тот чувство когда ты не мочь прочувствовать мощь lte потому что у ты не билайн и 5s 
negative,negative,ебаный #билайн #заебывать 
negative,negative,@asami_kaito не знать про котик я вдиела реклама где он изображать мобильник хд вот да а еще билайн деньги драть шо пипец 
negative,negative,@beeline_rus лти каширок 80 так и нету 
negative,negative,ебать билайн 
negative,positive,@m_arisss ну а в центр москва хорошо билайн 
negative,negative,@zhalobikz билайн обманщик подключать инет за 9000тг в год так там скорость низкий и вообще почти нигде не ловить сеть 
negative,negative,мобильный инет у билайн прекрасный особенно если они не пользоваться ;) 
positive,positive,билайн выдерживать новогодний испытание http://tco/i0dhpiyt7h 
negative,negative, @roemru: билайн системно сосать деньги с детский тариф свинство http://tco/nf82fxpkyu  @nnikiforov вы не казаться что это надо прес 
positive,positive,билайн выдерживать новогодний испытание  #it 
positive,positive,билайн выдерживать новогодний испытание 
positive,negative,резюмировать про #билайн - https://tco/m8vrb1v3qc если короче - все плохо @beeline_rus 
negative,negative,#beeline а *122# вообще работать у вы и давно вы становиться отключать хайвей за неиспользование 
negative,negative,в тверь вымпелком оштрафовать на 100 тысяча за спам http://tco/a3tw9hvo5j #hitech 
negative,negative,пока вы ждать стабильность мобильный интернет от билайнаваш друг жениться и обзаводиться ребенок:))) 
negative,negative,гребать билайн отправлять мой смска 
negative,negative,@beeline_rus подсказывать куда написать чтобы возмещать средство за постоянный обрыв связь на 6-й секунда соединение 
negative,negative,@beeline_rus господин подсказывать попросить зайти на одноклассник ( смоленск) не получаться только у я или это массовый психоз 
negative,negative,у билайн скорость на домашний интернет вдруг из 30 мб превращаться в 5 :( 
negative,positive,несмотря на экстремальный мороз в якутия и магаданский область связь билайн оставаться стабильный 
negative,negative,http://tco/sxng6dhtwd ваш смс не доставлять я в лом билайн 
negative,negative,хотеть отключать долбать голосовой почта на @beeline_uz  заветный циферка *610# и ваш $ быть сохранять  
negative,negative,@beeline_sib итакпошеть 2 годза 2 месяц 11 ответ от бичто проблема исправленый каждый день слать факт о невозможность дозвонаспасибоби 
negative,negative,когда прийти счастие и я переходить на кабельный интернет обещать с кайф изрубать билайновский модем топор(((((( 
negative,positive,несмотря на #экстремальный мороз в #якутия и магаданский область связь билайн оставаться стабильный 
positive,positive,ведомость: вымпелком снижать тариф на интернет-роуминг в шесть раз бизнес 
negative,positive,надо быть рано писать _beeline_kz  за полчаса решать вопрос теперь бы сам интернет как в сказка (как в южный корея в смысл) 
negative,positive,рад сообщать что в поселок забайкальский край появляться сеть gsm #билайн с 2008 год там быть только сеть 3g http://tco/awd622vvgs 
negative,positive,по суть мой номер перенести в билайн по крайний мера местный звонок и смс работать немного поздно проверять остальной сервис 
negative,negative,получаться человек становиться бежать из билайн когда давать возможность сохранять номер 
negative,negative,@beeline_rus интернет у все одинаковый а сервис у вы гавно 
negative,negative,@beeline_rus переходить к ваш конкурент который отвечать на звонок пользователь в течение минута 
negative,positive,@lyasan_pro за тот деньги что я платить @ru_mts на билайн быть короткий номер и еще минута и деньги быть оставаться 
positive,negative,в билайн заводиться мошенник | личный журнал лариса http://tco/ftnyf9vgqy с помощь @larisenok_com 
negative,negative, @elenalip: @beeline_rus я и в личный кабинет не зайдукуда вы я посылаетеоригинально- убивать инети для решение вопрос отправлять на 
negative,negative,можно только через карта хотя вымпелком уже год как обещать возможность оплачивать через баланс поэтому думать пара год подождать и они всп 
negative,negative,@beeline_rus еще бы вы находить специалист простыхкоторой в состояние мониторять работа ваш твкоторой виснуть в прамтайм с нга 
negative,negative,мегафон форэвер  @lm08zor: альтернатива переход на @beeline_rus к то же мегафон на 20 этаж устойчиво принимать в отличие от билайн 
negative,negative,интернет билайн - на шаг впереди почта россия  #взаимныйфолловинг 
negative,negative,билайнокорбина сегодня вынуждать посещать сайт знакомство ненависть 
negative,negative,@beeline_rus да хватить уже обещать ничто вы делать не быть и все сам прекрасно знать ваш интернет оставлять желать хороший удача 
negative,negative,@beeline_rus скорость на домашний интернет вместо 30 становиться 5 и довольно давно лицевой счет 089-800-6050 
negative,negative,настроение в гавно спасибо билайн за это 
negative,negative,ваш смс не доставлять я в лом билайн #юмор 
negative,negative,#юмор ваш смс не доставлять я в лом билайн 
positive,positive,в 5 утро мобильный интернет билайн обгонять проводной ростелеком по скорость #билайн http://tco/4m599xkgcm 
negative,negative,@beeline_rus уже неделя по конкретный адрес перебой с мобильный связь неприятно 
negative,negative,#билайн в лицо @beeline_rus снова соврать и не один салон связь @svyaznoy_ru не принимать платеж за билайн как и не принимать 
negative,positive,подключать (замена симка) билайновый lte на айфон даже не вериться но оно работать 
positive,positive,билайн сообщать о первый успешно перенести номер 
negative,negative,@beeline_rus добрый день почему несерьез относить к клиент уже 2раза через call отключать и писать письмзаявление http://tco/503moipgbi 
negative,positive,вымпелком ликвидировать отставание от конкурент по качество связь #новость 
negative,negative,сваливать-ка я с билайн на мегафон с сохранение номер 
negative,negative,субботний вечерникака скорость у интернет @beeline_rus 0897078312 http://tco/a1hp66ki1d 
negative,negative, @skemhey: в чечня поджигать офис билайн  билайн жить на яркий сторона 
positive,positive,для белый дача считать заебись 4г от билайн http://tco/zz0mtn1qyf 
negative,negative,@_beeline_kz проверять пожалуйста личка - там о проблема с интернет упасть вчера вечер и до сей пора нет 
negative,negative,поддержка билайн совсем оплохела рано быстро отвечать  сейчас игнор  #билайн 
negative,negative,@beeline_rus каждый раз надо писать письмо разбираться не просто выполнять законодательство рф о который не слышать в офис на маяковская 
negative,positive,да уж после мтс интернет у билайн просто летать 
negative,negative,хороший расценка у билайн: на счет 110 рубль а в тайланд позвонить не мочь сразу говорить что деньги не хватить) 
negative,negative,я быстро состариться чем дозваниваться к оператор #билайн 
positive,negative, @tsentsiper2: фас мочь оштрафовать вымпелком и apple из-за lte 
negative,negative, @francis_s_: привет от мтс тупой смс 
negative,negative,у мтс проблема со связь из-за замена оборудование 
negative,negative, @requrohypesy: на симка мтс резко исчезать интернет хотя со счет списывать 120 р и я уходить в минус и не первый раз такой подстава чсх 
negative,negative, @dedamifedaj: у мтс проблема со связь из-за замена оборудование 
negative,negative,*mobile отвратительный у местный провайдер gprs/edge даже авторизоваться в яонлайн не мочь приходиться пользоваться mts 
negative,negative,мтс запрещать скайп 
positive,negative,мобильный оператор мтс на украина оставаться без лицензия  #взаимныйфолловинг 
positive,negative,#internet мобильный оператор мтс на украина оставаться без лицензия http://tco/827wgmthb5 
negative,negative,на мтс больше никогда не пойти☝️ 
negative,negative, @fagekocedam: мтс — яйцо в самый плохой смысл это слово 
negative,negative, @lyzotucunaku: у мтс проблема со связь из-за замена оборудование 
negative,negative,по итог новогодний ночь становиться ясно что мегафон - оператор случайный связь мтс это мой телефон спать а b http://tco/yrlm6c7jht 
negative,negative,ох уж этот #мтс @ruslanusachev: мой мобильный интернет хватать только на то чтобы передавать значок 3g и мигать стрелочка 
negative,negative,ахтунг мтс кидать lleo гарантировать это :) 
negative,negative,ебучок мтс вдоль ржд —  гавно 
positive,negative,#новостиинтернет мобильный оператор мтс на украина оставаться без лицензия 
negative,negative, @xidicyhopij: мтс — яйцо в самый плохой смысл это слово 
negative,negative,у я тут сеть нет мтс с какой-то хер не ловить 
negative,negative, @mezuhitadeda: у мтс проблема со связь из-за замена оборудование 
negative,negative, @wukikybukyn: у мтс проблема со связь из-за замена оборудование 
negative,negative,мтс - ты гавно 
positive,positive,мтс позволять подключать на один sim-карта до три номер 
negative,negative,истекать срок действие лицензия мтс в украина: сотовый оператор пока что не смочь продлять лицензия но уверять ч http://tco/unfxz5ge5r 
negative,negative, @kivaaaaa: мтс сука мудак 
negative,positive,кто бы мочь подумать у мтс много абонент чем у at&amp;amp;t 
negative,negative, @jagyar09: мтс снова облажаться + update http://tco/h5kfkb31h2 
negative,negative,мтс опять произвольничать втихушка включать плата за услуга я на связь как они называть а 
negative,negative, @gifeholehuh: у мтс проблема со связь из-за замена оборудование 
negative,negative, @wiazo: #мтс уважаемый 3g все плохо и плохо работать с каждый день 
negative,negative,мтс курица не учить 
negative,negative,@julia__art мтс никак не мочь присылать распечатка глюк какой-то у они а мега просматривать 
negative,negative, @vezogatogivu: зачетный написать про то как мтс любить клиент и в хвост и в грива 
positive,positive,lte для ipad air и ipad mini retina зарабатывать в сеть мтс http://tco/ujeayegoii #новость #news #лето 
negative,negative,мтс очень говнивать с интернет в последний время 
positive,positive,абонент мтс разрешать работать в lte-сеть на новый планшет&amp;#8230; 
negative,negative,в самый ответственный момент заканчиваться трафик и не грузить контакт #мтсблять 
negative,negative, @vixonuwivud: тут в маршрутка один женщина с мтс ругаться-тип вы украсть деньгивернулипот сновай каждый раз-давать блокируйтенек 
negative,negative, @rawidutogudo: у мтс проблема со связь из-за замена оборудование 
negative,negative, @debusirosam: украинский мтс такой украинский тут даже 3g — не честный 
negative,negative, @gokaqavuxyte: зачетный написать про то как мтс любить клиент и в хвост и в грива 
negative,negative, @wylupukijim: у мтс проблема со связь из-за замена оборудование 
negative,negative,мтс при пополнение мобильный счет снимать 5-9 грн просто так что за на фига 
negative,negative, @gudkovd: давать # #мтс: место ты слышно #дерьмосаязь 
negative,negative,мтс гавно 
negative,negative, @jowumogifaje: у мтс проблема со связь из-за замена оборудование 
negative,positive,мтс пожелать я хороший день просто так без реклама круто=) #люблюмтс 
negative,positive,#мтс радовать )))) http://tco/2jsqki1fbl 
positive,positive,пасиб @ru_mts http://tco/wsbeyjqqad 
negative,positive,спасибо мтс 
negative,positive,мтс пожелать хороший день просто так приходить смска странно но приятно:) 
